FastApi

---------- coverage: platform linux, python 3.8.10-final-0 -----------
Name                                                                                      Stmts   Miss  Cover
tests/test_tutorial/test_async_sql_databases/__init__.py                                      0      0   100%
tests/test_tutorial/test_async_sql_databases/test_tutorial001.py                             27     11    59%
tests/test_tutorial/test_async_tests/__init__.py                                              0      0   100%
tests/test_tutorial/test_async_tests/test_main.py                                             5      0   100%
tests/test_tutorial/test_background_tasks/__init__.py                                         0      0   100%
tests/test_tutorial/test_background_tasks/test_tutorial001.py                                13      0   100%
tests/test_tutorial/test_background_tasks/test_tutorial002.py                                13      0   100%
tests/test_tutorial/test_background_tasks/test_tutorial002_an.py                             13      0   100%
tests/test_tutorial/test_background_tasks/test_tutorial002_an_py39.py                        15      9    40%
tests/test_tutorial/test_background_tasks/test_tutorial002_an_py310.py                       15      9    40%
tests/test_tutorial/test_background_tasks/test_tutorial002_py310.py                          15      9    40%
tests/test_tutorial/test_behind_a_proxy/__init__.py                                           0      0   100%
tests/test_tutorial/test_behind_a_proxy/test_tutorial001.py                                  11      0   100%
tests/test_tutorial/test_behind_a_proxy/test_tutorial002.py                                  11      0   100%
